objectid,country,name,company,group_comp,subgroup,groupid,area_ha
8015,IDN,PT. UDAYA LOHJINAWI 2,PT. UDAYA LOHJINAWI,RP KELAPA SAWIT Sdn Bhd,,92,3340
8016,IDN,PT. TRIDAYARI MANDIRI UTAMA,PT. TRIDAYARI MANDIRI UTAMA,No group,,99,16801
8017,IDN,PT. PERKEBUNAN V (PIR LOKAL BAGAN BATU,PT. PERKEBUNAN V (PIR LOKAL BAGAN BATU,No group,,99,3324
8018,IDN,PT. PERKEBUNAN V (PIR BAGAN SINEMBAH),PT. PERKEBUNAN V (PIR BAGAN SINEMBAH),No group,,99,3861
8019,IDN,PT. NURINTA BAGANYASA,PT. NURINTA BAGANYASA,No group,,99,1094
8020,IDN,PT. SIAK SERAYA,PT. SIAK SERAYA,Siak Raya Group,,65,10181
8021,IDN,PT. MURINI WOOD INDUSTRI,PT. MURINI WOOD INDUSTRI,Surya Dumai Group,,94,9710
8022,IDN,PT. TORUS GANDA,PT. TORUS GANDA,No group,,99,7884
8023,IDN,PT. SUMBER JAYA INDAH NUSA COY 1,PT. SUMBER JAYA INDAH NUSA COY,No group,,99,7542
8024,IDN,PT. EKADURA INDONESIA 2,PT. EKADURA INDONESIA,Astra International,Astra Agro Lestari,5,11979
8025,IDN,PT. EGASUTI NASAKTI 2,PT. EGASUTI NASAKTI,No group,,99,4296
8026,IDN,PT. DUMAI INDAH PERKASA,PT. DUMAI INDAH PERKASA,Dumai Indah Group,,16,1231
8027,IDN,PT. EGASUTI NASAKTI 3,PT. EGASUTI NASAKTI,No group,,99,600
8028,IDN,PT. PADASA ENAM UTAMA 3,PT. PADASA ENAM UTAMA,No group,,99,5376
8029,IDN,PT. MERIDAN SEJATI SURYA,PT. MERIDAN SEJATI SURYA,Surya Dumai Group,,94,5262
8030,IDN,BPP SEI. PUTIH,BPP SEI. PUTIH,No group,,99,2840
8031,IDN,PT. BUDIDAKSA DWI KUSUMA,PT. BUDIDAKSA DWI KUSUMA,No group,,99,8464
8032,IDN,PT. BATU PUTIH,PT. BATU PUTIH,No group,,99,2225
8033,IDN,PT. UNICO BIMASARI 2,PT. UNICO BIMASARI,No group,,99,925
8034,IDN,PT. AZEK SAKTI,PT. AZEK SAKTI,No group,,99,22048
8035,IDN,PT. MESKOM AGRO SARIMAS,PT. MESKOM AGRO SARIMAS,No group,,99,13968
8036,IDN,PT. SUMBER JAYA INDAH NUSA COY 2,PT. SUMBER JAYA INDAH NUSA COY,No group,,99,2597
8037,IDN,PT. ADITYA PALMA NUSANTARA,PT. ADITYA PALMA NUSANTARA,Duta Palma Group,,17,7546
